          precision    recall  f1-score   support
                                   pokok atau pangkal suatu pendapat (ajaran, aturan); asas       0.00      0.00      0.00         0
                           pokok; utama       0.00      0.00      0.00         0
       pucuk yang masih muda; daun muda       1.00      1.00      1.00         1
  pusing       1.00      1.00      1.00         2
            rangkaian yang berturut-turut (tentang cerita, buku, peristiwa, dan sebagainya)       0.00      0.00      0.00         1
                                ruang sela (panjang atau jauh) antara dua benda atau tempat       1.00      1.00      1.00         1
                       rupa muka; wajah       1.00      1.00      1.00         1
  saling       0.00      0.00      0.00         1
                           sangat kikir       1.00      1.00      1.00         1
   sebutan kehormatan, kebangsawanan, atau kesarjanaan yang biasanya ditambahkan pada nama orang seperti raden, tengku, doktor, sarjana ekonomi       0.00      0.00      0.00         0
                            sedap; enak       1.00      1.00      1.00         1
                  segi pandangan; aspek       0.00      0.00      0.00         1
                                   seimbang; tidak ada yang menang dan tidak ada yang kalah       1.00      1.00      1.00         1
        sikap; tindak-tanduk; perbuatan       1.00      1.00      1.00         1
  sungai       0.00      0.00      0.00         1
                                          tanah atau lantai yang agak tinggi di depan rumah       1.00      1.00      1.00         2
                                               tanaman termasuk suku Myrtaceae, pohonnya bertajuk lebat, tingginya mencapai 25 m, daunnya berbentuk bulat telur atau lonjong, berbau harum, biasanya digunakan sebagai bumbu masak       0.00      0.00      0.00         1
                                              tegang; berbahaya (tentang keadaan yang mungkin segera menimbulkan bencana perang dan sebagainya)       1.00      1.00      1.00         2
                                       telapak sepatu pada bagian tumit yang relatif tinggi       1.00      1.00      1.00         2
       tempat orang berjual beli; pekan       1.00      1.00      1.00         1
                 tempat penjagaan (tentara, polisi, pengamat gunung berapi, dan sebagainya)       0.00      0.00      0.00         0
                                              tempat pertemuan dua ruas (jari, buluh, tebu)       1.00      1.00      1.00         1
                              terlampau hemat memakai harta bendanya; pelit; lokek; kedekut       0.00      0.00      0.00         1
       terlempar kembali; berbalik arah       0.00      0.00      0.00         0
                terpelanting; terpental       0.00      0.00      0.00         2
   tertutup rapat (tentang mata); pejam       1.00      1.00      1.00         1
     tidak aman karena banyak gangguan keamanan (seperti pencurian, perampokan, pembegalan)       0.00      0.00      0.00         0
                                    tidak dapat melihat sesuatu dengan jelas (tentang mata)       1.00      1.00      1.00         1
                                                 tidak menaruh belas kasihan; bengis; zalim       1.00      1.00      1.00         1
                                         tidak ramah; kaku (tentang suasana dan sebagainya)       0.00      0.00      0.00         1
                    tingkah; laku; ulah       0.00      0.00      0.00         0
                       titik-titik air yang berjatuhan dari udara karena proses pendinginan       0.50      1.00      0.67         1
                                               tutup atap rumah yang terbuat dari tanah liat yang dicetak dan dibakar, bermacam-macam bentuknya       1.00      1.00      1.00         3
                                     ucapan as-salāmu ’alaikum wa raḥmatullāhi wa barakātuh       0.00      0.00      0.00         1
 upacara       0.00      0.00      0.00         3
                        wajib hadir dalam suatu upacara resmi (bersifat kemiliteran) untuk diketahui hadir tidaknya atau untuk mendengar amanat       0.00      0.00      0.00         0
                                     waktu setelah matahari terbenam hingga matahari terbit       1.00      1.00      1.00         3
                                                   yang datang dan sebagainya banyak-banyak       0.00      0.00      0.00         1
                                                 zat minyak yang melekat pada daging; gemuk       1.00      1.00      1.00         1
                              zat racun yang dapat menyebabkan luka, busuk, atau mati bagi sesuatu yang hidup (biasanya terdapat pada binatang)       1.00      1.00      1.00         2
                 tempat penjagaan (tentara, polisi, pengamat gunung berapi, dan sebagainya)       0.00      0.00      0.00         1

accuracy                           0.70       160
                              macro avg       0.60      0.62      0.59       160
                           weighted avg       0.72      0.70      0.68       160
